ind,force,,
0.7944,0,,
38.446,10,,
62.837,20,,
85.441,30,,
108.85,40,,
131.65,50,,
151.88,60,,
170.09,70,,
187.44,80,,0
203.93,90,,
218.24,100,,
233.36,110,,
247.59,120,,
262.99,130,,
279.21,140,,
293.46,150,,
307.1,160,,
320.52,170,,
333.78,180,,
346.39,190,,
358.33,200,,
370.02,210,,
381.14,220,,
392.12,230,,
402.64,240,,
413.4,250,,
423.9,260,,
434.18,270,,
444.56,280,,
455.58,290,,
467.06,300,,
478.07,310,,
488.65,320,,
499.16,330,,
509.68,340,,
520.09,350,,
530.37,360,,
540.41,370,,
549.9,380,,
558.26,390,,
566.6,400,,
574.66,410,,
583.08,420,,
592.2,430,,
600.5,440,,
608.56,450,,
