SAngle,Nrplies,Stepply,SymLam,Thickpl,S11,S22,Thick,min_val
0,8,5,0,1,26980.91797,3070.717529,2.032,11.94215137
0,8,5,0,2,17058.72656,1399.042236,4.064,6.711147416
0,8,5,1,1,26494.50781,3563.109863,2.032,12.91558154
0,8,5,1,2,16430.21094,1699.233276,4.064,7.242362445
0,8,10,0,1,18704.28906,1478.602417,2.032,6.947872398
0,8,10,0,2,10355.02539,787.790955,4.064,4.132579055
0,8,10,1,1,20450.21094,1868.024292,2.032,8.117225993
0,8,10,1,2,9693.629883,838.653687,4.064,4.118540872
0,8,15,0,1,10000.86231,711.498413,2.032,3.657376629
0,8,15,0,2,4917.217285,345.866974,4.064,2.157478725
0,8,15,1,1,9675.110352,656.509583,2.032,3.47740337
0,8,15,1,2,4681.67334,313.045044,4.064,2.0423479
0,8,20,0,1,6845.734375,468.660156,2.032,2.540734452
0,8,20,0,2,3395.83667,248.462753,4.064,1.661616139
0,8,20,1,1,5224.361328,312.31311,2.032,1.898679338
0,8,20,1,2,2603.517822,154.572708,4.064,1.310050852
0,8,25,0,1,7848.783691,505.544891,2.032,2.808556977
0,8,25,0,2,3967.727539,260.739441,4.064,1.795389867
0,8,25,1,1,6389.774414,356.059357,2.032,2.211780772
0,8,25,1,2,3187.876465,178.734909,4.064,1.471860694
0,8,30,0,1,7166.003906,432.113159,2.032,2.521764455
0,8,30,0,2,3562.430176,212.970444,4.064,1.616112294
0,8,30,1,1,6942.00293,412.872467,2.032,2.438162775
0,8,30,1,2,3436.376953,201.705734,4.064,1.568121185
0,8,35,0,1,7996.8125,474.69342,2.032,2.769606495
0,8,35,0,2,3930.034424,229.08017,4.064,1.71986993
0,8,35,1,1,8057.250977,484.733582,2.032,2.802647168
0,8,35,1,2,3986.870117,235.740265,4.064,1.744926828
0,8,40,0,1,5726.728027,365.193481,2.032,2.107209032
0,8,40,0,2,2805.490234,180.94635,4.064,1.40494477
0,8,40,1,1,5429.131836,346.989014,2.032,2.012048736
0,8,40,1,2,2697.498535,169.784805,4.064,1.360563256
0,8,45,0,1,9432.129883,536.152771,2.032,3.171613588
0,8,45,0,2,4806.449707,270.95105,4.064,1.974729428
0,8,45,1,1,8598,447.676788,2.032,2.823914812
0,8,45,1,2,4285.76416,223.79158,4.064,1.775134466
0,8,50,0,1,7086.959961,427.883911,2.032,2.497799395
0,8,50,0,2,3629.179932,218.712723,4.064,1.641043611
0,8,50,1,1,6349.575684,353.743622,2.032,2.199236515
0,8,50,1,2,3165.455566,177.18663,4.064,1.464309146
0,8,55,0,1,7098.496094,410.189056,2.032,2.461703274
0,8,55,0,2,3494.552002,204.509125,4.064,1.585090392
0,8,55,1,1,6802.140625,387.930756,2.032,2.358010569
0,8,55,1,2,3391.637451,191.630264,4.064,1.537947728
0,9,5,0,1,24754.77344,2535.112305,2.286,10.39716392
0,9,5,0,2,15543.05664,1152.027832,4.572,5.953834108
0,9,5,1,1,24108.86133,3044.958496,2.286,11.37842554
0,9,5,1,2,14788.125,1428.215454,4.572,6.409446852
0,9,10,0,1,15272.72559,1071.057983,2.286,5.453757092
0,9,10,0,2,6884.751465,522.945129,4.572,2.97022307
0,9,10,1,1,16482.60547,1264.036499,2.286,6.097860415
0,9,10,1,2,7774.514648,570.03772,4.572,3.238875486
0,9,15,0,1,6127.566406,503.91922,2.286,2.512793771
0,9,15,0,2,3133.03125,255.6866,4.572,1.688919251
0,9,15,1,1,5256.662598,384.451691,2.286,2.091191137
0,9,15,1,2,2652.374512,184.420731,4.572,1.444707747
0,9,20,0,1,6600.194336,434.000122,2.286,2.45023508
0,9,20,0,2,3336,223.445511,4.572,1.657265429
